ISO,Name,Population,_id,continents
IN,India,1402420930,621b90cb226f11ed124cbd45,"[""621b90cb226f11ed124cbd60""]"
US,USA,332915073,621b90cb226f11ed124cbd79,"[""621b90cb226f11ed124cbd61""]"
AU,Australia,25987867,621b90cb226f11ed124cbd48,"[""621b90cb226f11ed124cbd64""]"
GB,UK,67081000,621b90cb226f11ed124cbd42,"[""621b90cb226f11ed124cbd67""]"
MX,Mexico,126014024,621b90cb226f11ed124cbd7e,"[""621b90cb226f11ed124cbd61""]"
IT,Italy,60317116,621b90cb226f11ed124cbd39,"[""621b90cb226f11ed124cbd67""]"
MA,Morocco,37632126,621b90cb226f11ed124cbd71,"[""621b90cb226f11ed124cbd65""]"
EG,Egypt,102674145,621b90cb226f11ed124cbd43,"[""621b90cb226f11ed124cbd65""]"
CN,China,14485086609,621b90cb226f11ed124cbd52,"[""621b90cb226f11ed124cbd60""]"
FR,France,65512203,621b90cb226f11ed124cbd58,"[""621b90cb226f11ed124cbd67""]"
